label,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,angle0,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14
4,0,0.0,0.0,0.0,-0.19060563,-0.15810567,-0.16914731,-0.25283515,-0.45828372,-0.2554096,-0.13557437,-0.77882004,-0.31098154,0.051474575,-0.9174026,-0.35774094,-0.32983688,-0.8736293,-0.23747347,-0.50827813,-1.2446711,-0.33708063,-0.62113625,-1.4333276,-0.40788656,-0.6910333,-1.5969982,-0.46371764,-0.1559846,-0.96692187,-0.20181882,-0.2695062,-1.4435549,-0.26978448,-0.3334979,-1.6925385,-0.30814788,-0.38462952,-1.9695908,-0.3507544,0.009635323,-0.94614345,-0.17779256,0.06268813,-1.3825735,-0.27589494,0.08505349,-1.6390922,-0.3138789,0.09484897,-1.8677663,-0.33960393,0.18700859,-0.80973214,-0.164395,0.32802147,-1.1108134,-0.2536707,0.4418571,-1.281045,-0.284676,0.518291,-1.4619972,-0.30667338,2.455758,2.5886166,2.5676575,3.0561,3.0269172,3.012249,3.043753,3.1212215,3.0732644,3.0279386,3.0612268,3.085825,2.9254572,2.9558666,2.949533
9,1,0.0,0.0,0.0,0.25434917,-0.27369532,0.2641216,0.48955974,-0.4377524,0.24635321,0.71547157,-0.47725195,0.16514912,0.833053,-0.5386807,0.080356374,0.37329087,-0.99180907,0.031335216,0.6060204,-1.3810834,0.007758167,0.78929293,-1.3192059,0.03833071,0.8632605,-1.1585103,0.06953673,0.40603337,-0.9006456,-0.15483661,0.79078925,-0.74132025,-0.16029839,0.70509356,-0.5197496,-0.09022196,0.5869519,-0.51560646,-0.04251575,0.44719452,-0.71529776,-0.31483424,0.7461648,-0.4339512,-0.2575968,0.6222126,-0.2888808,-0.16296679,0.51624614,-0.3329124,-0.1362702,0.51150733,-0.48980597,-0.45630625,0.6980919,-0.23351248,-0.35357293,0.57893896,-0.14319667,-0.25488526,0.4725932,-0.20244294,-0.21373864,2.4354982,2.6331298,2.783499,2.9450896,1.7728065,2.3393888,1.603394,1.5896736,2.0438445,1.339472,1.6748906,1.9493276,1.2930758,1.7570248,2.0879312
9,1,0.0,0.0,0.0,0.2330255,-0.22303,-0.044916466,0.38941777,-0.54817724,-0.11347455,0.46151876,-0.79448617,-0.19840564,0.36093852,-0.96289015,-0.2619745,0.21899986,-1.0190423,-0.08474209,0.2830972,-1.4175047,-0.18836157,0.38900903,-1.383347,-0.20699522,0.38408196,-1.2311522,-0.19562188,0.05448609,-0.9903833,-0.12717,0.17677324,-1.2113794,-0.23501483,0.2651464,-0.9203353,-0.20748818,0.26371995,-0.7825565,-0.1622888,-0.06518399,-0.88921714,-0.18299533,0.119448535,-0.9717618,-0.30135277,0.2160191,-0.69719046,-0.23897319,0.1893565,-0.5915937,-0.16992325,-0.15493274,-0.7422009,-0.24577968,0.045206387,-0.75204676,-0.32470608,0.12274545,-0.5824667,-0.28470308,0.08863773,-0.5212539,-0.23634724,2.7840252,2.9357014,2.361561,2.963803,1.466575,1.8329289,2.6283424,0.83200574,2.7670922,1.9706256,1.3947358,2.498856,1.5457318,1.8341445,2.208775
9,1,0.0,0.0,0.0,0.07781854,-0.40410015,0.03226093,0.3648703,-0.6236703,-0.05566247,0.6805832,-0.61277115,-0.15752155,0.87379706,-0.48388717,-0.25838742,0.2810154,-1.0383795,-0.22535129,0.53510886,-1.515785,-0.37999022,0.74236304,-1.5303181,-0.44527245,0.8492059,-1.4494122,-0.46686468,0.33954686,-0.88364184,-0.32231197,0.9067345,-0.6750758,-0.50976235,0.8642191,-0.4197371,-0.5350529,0.7077472,-0.3506306,-0.50486547,0.39692023,-0.58886176,-0.40392628,0.87180525,-0.23818947,-0.5522809,0.78134465,-0.038034048,-0.49732777,0.6371656,-0.04697821,-0.42111826,0.46313453,-0.27090737,-0.47667205,0.8173432,0.023323556,-0.53097713,0.72534794,0.20192848,-0.4453376,0.58656496,0.20101357,-0.36377734,2.3531208,2.477131,2.6154633,2.9118698,2.1760283,2.42942,1.6795996,1.7781671,2.118762,1.655191,1.7096725,2.001521,1.9083962,1.7226186,2.1617846
8,0,0.0,0.0,0.0,-0.24584319,-0.2984905,-0.10478047,-0.4014484,-0.738907,-0.15931788,-0.49349684,-1.0453185,-0.21655229,-0.60538787,-1.2404579,-0.27255687,-0.062733136,-1.0813313,-0.08814375,0.04023515,-1.5237076,-0.18047269,0.10737318,-1.7719551,-0.22754723,0.17994991,-1.9849979,-0.26358974,0.108545825,-0.98889446,-0.101516776,0.16708396,-1.2310749,-0.27774128,0.08903331,-0.8957906,-0.3107995,0.046964936,-0.6254217,-0.28234887,0.2689169,-0.84683216,-0.129897,0.28264403,-0.9673901,-0.29035193,0.18136787,-0.65992653,-0.26301974,0.13334769,-0.47489035,-0.19783188,0.41118395,-0.67491734,-0.16804981,0.4120398,-0.8174777,-0.26164603,0.31100032,-0.60999197,-0.2295415,0.2758504,-0.4684588,-0.18065216,2.7682185,3.0645883,2.908103,2.8339016,3.1017075,3.074513,2.614358,0.7113822,2.9288776,2.347586,0.855862,2.889265,2.5234673,0.6055676,2.8661718
7,0,0.0,0.0,0.0,-0.2860008,-0.20944183,-0.10374334,-0.49701244,-0.54924464,-0.15696481,-0.5829857,-0.89453024,-0.22747229,-0.6051019,-1.2150468,-0.2913552,-0.44489592,-0.90190816,0.07540488,-0.5774457,-1.1899374,-0.0425867,-0.68216944,-1.3007289,-0.13429248,-0.76019317,-1.3666416,-0.1784078,-0.27599362,-0.95933074,0.05926243,-0.3919853,-1.2828808,-0.08934267,-0.5085886,-1.2950631,-0.17525078,-0.5993173,-1.2949288,-0.1945015,-0.09342185,-0.9711527,0.01257044,-0.24123332,-1.211925,-0.18917085,-0.25419545,-0.84903973,-0.21845493,-0.21827357,-0.5736549,-0.17031343,0.10375011,-0.95012236,-0.040222067,-0.04885696,-1.222467,-0.17245372,-0.09036629,-0.96366477,-0.15255177,-0.059003197,-0.7233094,-0.09802177,2.7375398,2.8277283,2.9698148,2.7096822,2.79518,2.9747925,2.6700554,2.1597466,2.7077177,2.3797815,0.89052635,2.8403943,2.4424872,0.72375214,2.8213181
8,0,0.0,0.0,0.0,-0.1957791,-0.37298593,-0.12069882,-0.26606768,-0.83954775,-0.18947451,-0.30238137,-1.164836,-0.2582477,-0.37048474,-1.3967316,-0.3261274,0.16078612,-1.1083311,-0.104150936,0.3520608,-1.472766,-0.19080062,0.47059247,-1.6697328,-0.2359038,0.58592296,-1.8165386,-0.27114415,0.31863764,-0.94158006,-0.10907406,0.43909276,-1.1332381,-0.28040615,0.28678223,-0.83586234,-0.32310307,0.1547649,-0.5838141,-0.30086434,0.44370398,-0.71865463,-0.12828992,0.47797456,-0.81400216,-0.2793662,0.31453198,-0.554345,-0.26891285,0.20359436,-0.38479012,-0.21702921,0.53072464,-0.4789802,-0.15869021,0.5749761,-0.60392314,-0.2518716,0.4208462,-0.46302104,-0.23321536,0.31916353,-0.34764445,-0.1937508,2.7889884,3.0686948,2.95953,2.7872732,3.0827367,3.0194561,2.5619938,0.77933097,2.936285,2.2963057,0.9619507,2.9242804,2.5444424,0.69164443,2.947848
4,1,0.0,0.0,0.0,0.2255611,-0.11016959,-0.14346053,0.3507823,-0.306606,-0.24894065,0.19638534,-0.47560132,-0.34211388,0.0019930338,-0.5502409,-0.44991934,0.31539592,-0.8983175,-0.30631524,0.46322626,-1.3255036,-0.43965238,0.5218095,-1.6130235,-0.5339034,0.5688634,-1.8777115,-0.6131974,0.0972286,-0.9327118,-0.34726843,0.06053619,-1.4697936,-0.49293634,0.043377627,-1.8004588,-0.62342256,0.020564236,-2.0738254,-0.7221376,-0.08775106,-0.7969474,-0.38713178,-0.25589827,-1.2419752,-0.5576605,-0.3801094,-1.5223707,-0.686468,-0.5049065,-1.762368,-0.7704893,-0.24791779,-0.56599945,-0.4312917,-0.45549437,-0.7412308,-0.58651793,-0.59851617,-0.88900256,-0.657487,-0.7329333,-1.0315945,-0.7028527,2.6453555,1.9550419,2.7114778,3.1167736,3.0130522,3.1076968,2.954494,3.0293772,3.0996144,2.886887,3.0670545,3.028662,2.7463875,2.9335854,3.0360286
5,0,0.0,0.0,0.0,-0.2467211,-0.20811716,-0.13455066,-0.46724468,-0.46682027,-0.25252086,-0.69552743,-0.6240649,-0.36948252,-0.9214752,-0.7108923,-0.50298405,-0.117082246,-0.9321378,-0.22871645,-0.23337078,-1.3733523,-0.36477286,-0.31828484,-1.6567931,-0.47188562,-0.3947399,-1.9100235,-0.54970133,0.11769349,-0.957445,-0.26352835,0.17781363,-1.466157,-0.37680557,0.22665086,-1.7928684,-0.46977848,0.2753953,-2.0771885,-0.5457503,0.32006857,-0.8414261,-0.31161085,0.47306123,-1.2966247,-0.44089675,0.5750754,-1.5943025,-0.5457143,0.6585453,-1.8681836,-0.6222053,0.48505422,-0.62888366,-0.36847976,0.75085855,-0.8596967,-0.47647035,0.93783003,-1.0106472,-0.5317907,1.090647,-1.1644329,-0.57568777,2.976602,2.8888545,2.904823,3.003702,3.0759075,3.0803354,3.0923414,3.0775173,3.114948,3.0619607,3.082764,3.0727496,2.9112666,3.062261,3.0314808
9,1,0.0,0.0,0.0,0.23150209,-0.03578913,-0.27451944,0.42598948,-0.3257854,-0.41973662,0.40568206,-0.6879843,-0.53961825,0.29688546,-1.0206158,-0.63644236,0.5192895,-0.87669057,-0.18266076,0.67469275,-1.1643587,-0.37460005,0.7788504,-1.3626583,-0.4758258,0.8321213,-1.5353987,-0.52814597,0.30744958,-0.939534,-0.15083294,0.32181427,-1.2876453,-0.3863971,0.30478826,-1.001514,-0.43752536,0.32363844,-0.90911365,-0.4106522,0.10568108,-0.91895956,-0.16015536,0.12599413,-1.055999,-0.43206233,0.14247379,-0.6448624,-0.41829014,0.18203393,-0.56035084,-0.33514678,-0.081125736,-0.84787893,-0.19213285,-0.02283093,-0.8782719,-0.37318885,0.009878711,-0.5934889,-0.35984626,0.025986115,-0.5315746,-0.30717874,2.3434918,2.5324342,2.8879547,2.7862332,3.0347035,2.9174051,2.6313999,0.7712263,2.6192644,2.213156,1.0751537,2.3605843,1.9091473,1.4042345,2.486827
