label,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,angle0,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14
3,0,0.0,0.0,0.0,-0.34601542,-0.22615422,-0.063798286,-0.55841625,-0.53668374,-0.0927672,-0.71698076,-0.8120824,-0.12968317,-0.859059,-0.95548725,-0.16311595,-0.33736598,-0.96936744,-0.030395664,-0.39170286,-1.4088684,-0.13348918,-0.40153217,-1.6691401,-0.20183435,-0.38967955,-1.890727,-0.24026598,-0.16449885,-0.9856464,-0.03796212,-0.1729443,-1.2228931,-0.18269429,-0.17332743,-0.88048977,-0.20663166,-0.17197594,-0.64814335,-0.17674486,0.019832669,-0.9608699,-0.06110273,0.03169045,-1.215791,-0.19018377,0.013933133,-0.90078664,-0.15612324,-0.003927678,-0.6874341,-0.082970366,0.18349116,-0.88533133,-0.09220636,0.2257357,-1.2091334,-0.16025792,0.24317588,-1.3867147,-0.14554235,0.27149817,-1.5768038,-0.1096055,2.7449155,3.0552511,2.8812597,2.8523672,3.05426,3.018381,2.6175456,0.6182808,2.9437497,2.7360454,0.36086702,2.9183118,3.0142572,2.852115,3.0276845
5,1,0.0,0.0,0.0,0.2591613,-0.14822653,-0.14696078,0.44804958,-0.46716,-0.203159,0.57675403,-0.7494561,-0.24591924,0.7017988,-0.9448896,-0.29198223,0.20824467,-0.95618635,-0.17351288,0.26832372,-1.3805561,-0.2608151,0.29737183,-1.6442344,-0.32438287,0.3148482,-1.874534,-0.37670356,0.028881632,-0.9851569,-0.16920906,0.022148084,-1.4405558,-0.25967708,0.0076769763,-1.7406089,-0.3399349,-0.022771802,-1.9882878,-0.4022433,-0.13718532,-0.9060477,-0.1771428,-0.2397934,-1.3299875,-0.2903496,-0.32320365,-1.6045061,-0.3786133,-0.40060884,-1.8260765,-0.43678406,-0.2834694,-0.7495698,-0.19429018,-0.42359665,-1.0303496,-0.30837694,-0.5276704,-1.2127734,-0.37502927,-0.6129754,-1.3691667,-0.41646045,2.563523,3.0349038,2.9901667,3.0647576,3.095939,3.1062417,3.0910118,3.0689187,3.067975,3.0357738,3.070587,3.0734122,2.9943252,3.074667,3.060671
3,0,0.0,0.0,0.0,-0.265576,-0.108957365,-0.035840347,-0.4756659,-0.35616067,-0.06457245,-0.61250436,-0.57238203,-0.11939337,-0.7405292,-0.7167991,-0.16932864,-0.30979595,-0.9280516,0.035834342,-0.43962708,-1.3355387,-0.046790935,-0.54259306,-1.52987,-0.096857294,-0.598691,-1.6795616,-0.11819352,-0.20733939,-0.97826666,-0.0021728917,-0.37424847,-1.2797714,-0.1442925,-0.4233096,-0.9942334,-0.19307345,-0.39423656,-0.76492673,-0.18020277,-0.07681046,-0.9963711,-0.05315039,-0.2401707,-1.2928728,-0.17574053,-0.29607704,-1.0143673,-0.16035604,-0.270242,-0.7781121,-0.09981256,0.08050853,-0.9812749,-0.11263242,0.07015126,-1.3704493,-0.17370008,0.039137788,-1.6017696,-0.16225907,0.024311554,-1.7960293,-0.12922451,2.665954,2.9565327,2.9792998,2.9137259,2.9635632,2.9855974,2.6570668,0.86584526,2.7719774,2.6317892,0.74441636,2.7811308,3.026314,2.9110355,3.0097775
3,0,0.0,0.0,0.0,-0.29647797,-0.12866454,-0.14828078,-0.55132884,-0.50798833,-0.23289785,-0.7134455,-0.8127661,-0.31669253,-0.8811338,-0.99517554,-0.3964622,-0.33760607,-0.93635577,-0.16987087,-0.3796545,-1.4300327,-0.28058296,-0.40863058,-1.7127559,-0.3254612,-0.4151184,-1.9616246,-0.3468908,-0.14084888,-0.97557646,-0.16855912,-0.06667891,-1.11797,-0.40037918,-0.016317686,-0.7343682,-0.47093943,-0.0037488437,-0.44354436,-0.45440242,0.04342267,-0.96657205,-0.1793191,0.13860996,-1.0908457,-0.39117208,0.16012494,-0.7558336,-0.4056317,0.14043656,-0.5156026,-0.3456755,0.21103126,-0.9256769,-0.1992644,0.2489548,-1.2666234,-0.30320394,0.28493464,-1.4639949,-0.30898628,0.3025977,-1.6675867,-0.2838882,2.5471427,3.0270565,2.8859925,2.880503,3.0761595,3.0381293,2.2070084,1.2541698,2.8890042,2.247111,1.1454575,2.8203397,3.0013175,2.8675342,2.9639308
2,1,0.0,0.0,0.0,0.2154611,-0.084708534,-0.14579795,0.30083948,-0.40705863,-0.19764698,0.17719327,-0.69835997,-0.24394675,0.028938849,-0.91753733,-0.28859708,0.3077334,-0.9406518,-0.0817326,0.39794427,-1.3737444,-0.1538446,0.4519171,-1.6571268,-0.2099227,0.4930052,-1.8981478,-0.25331596,0.14689057,-0.9858085,-0.08127027,0.1194003,-1.4667451,-0.17688783,0.10004788,-1.7581851,-0.25481278,0.07689075,-1.9920589,-0.29694685,-0.0020492945,-0.9187471,-0.098596625,-0.10841497,-1.1823218,-0.2618525,-0.13480225,-0.95019424,-0.3183094,-0.13477983,-0.7629877,-0.3077235,-0.1338698,-0.780242,-0.12587927,-0.20115022,-0.97244245,-0.26515073,-0.19894962,-0.82379556,-0.28888538,-0.17937511,-0.680553,-0.27380165,2.1856556,2.4888692,2.949402,3.006084,3.1068063,3.1165109,2.9085538,3.0761995,3.0524783,2.5932715,0.8969389,2.8272026,2.6736841,0.8172594,2.8529131
1,0,0.0,0.0,0.0,0.061908253,-0.52760166,-0.007955235,-0.04077214,-1.0171107,-0.028711025,-0.1914137,-1.4040945,-0.04756469,-0.21412593,-1.7140754,-0.064474486,-0.4915202,-1.0614346,-0.09729339,-0.8610032,-1.1046188,-0.1229087,-0.7781848,-0.9581212,-0.12038153,-0.63951176,-0.8850986,-0.115059905,-0.6221379,-0.77475256,-0.11270773,-0.8914919,-0.75275344,-0.106156364,-0.78205997,-0.64391005,-0.07940652,-0.6420155,-0.6117473,-0.08214225,-0.6867704,-0.45234573,-0.12209158,-0.88680995,-0.4665191,-0.1345089,-0.7876038,-0.39458722,-0.103057586,-0.65332836,-0.3502838,-0.09662719,-0.71510684,-0.14730254,-0.12826288,-0.84669644,-0.19628935,-0.1379115,-0.7368541,-0.13845845,-0.10121463,-0.6116329,-0.097445436,-0.07323203,2.817079,2.9772432,2.8437471,2.1239455,0.94044596,2.5698845,2.1580915,0.88228303,2.5553,2.625768,0.5805142,2.7739353,2.9566631,0.25247335,2.960922
4,0,0.0,0.0,0.0,-0.22119637,0.51898044,-0.22667404,-0.5912403,0.88206726,-0.36801943,-0.9152843,1.1130135,-0.50228137,-1.1711514,1.2820219,-0.6116272,-1.0081338,0.28566906,-0.20811771,-1.4426919,0.17896445,-0.39675847,-1.3033347,0.12154941,-0.49815524,-1.0620668,0.17189614,-0.52966475,-0.98064476,-0.07241047,-0.18191406,-1.4107308,-0.20592842,-0.3755721,-1.1549432,-0.21787448,-0.46510595,-0.89271677,-0.15148512,-0.4842426,-0.9127352,-0.40299606,-0.18438837,-1.358424,-0.5394223,-0.33614373,-1.1292858,-0.5137129,-0.36037922,-0.87224734,-0.42051622,-0.34142804,-0.8135888,-0.69445866,-0.20899417,-1.1544605,-0.8194929,-0.33706084,-1.0655875,-0.79129475,-0.3598679,-0.89491636,-0.68349934,-0.34319344,2.7528636,2.980446,3.1039786,2.6088247,1.1590327,2.4213705,2.8303697,0.8163283,2.750057,2.9665248,0.45761657,2.848613,2.769666,0.5806387,2.7311246
2,0,0.0,0.0,0.0,-0.23347388,-0.10354836,-0.16770878,-0.34717715,-0.4486335,-0.22758476,-0.27046153,-0.81677324,-0.27365896,-0.12880278,-1.0624217,-0.30280763,-0.36549932,-0.92439026,-0.10439194,-0.49308005,-1.3600433,-0.1947316,-0.5679223,-1.6470166,-0.2604172,-0.6088233,-1.8646905,-0.308551,-0.17271535,-0.98198324,-0.076670215,-0.14593056,-1.4430909,-0.16128466,-0.15805987,-1.7605124,-0.22848393,-0.14318886,-1.984722,-0.27447894,-0.015239705,-0.932279,-0.06842999,0.065929085,-1.3721393,-0.1947593,-0.026722448,-1.2816738,-0.22380428,-0.072418995,-1.1116389,-0.21357451,0.1208028,-0.81526345,-0.07409578,0.11336166,-1.1227194,-0.20484097,0.02813124,-1.0756779,-0.23178224,-0.016781645,-0.91857964,-0.2212055,2.2689226,2.6216831,2.8253672,3.0126271,3.1053739,3.073706,2.888918,3.0433357,3.0391502,2.8605185,0.78475684,2.5417216,2.7882168,1.260515,2.2930295
0,0,0.0,0.0,0.0,-0.3138139,0.030919453,-0.15024415,-0.67536473,-0.41405672,-0.19699326,-0.7253143,-0.8824791,-0.22610891,-0.5400576,-1.0842245,-0.21584904,-0.514134,-0.93598235,-0.061248418,-0.63457805,-1.2132583,-0.23170371,-0.59489423,-0.863086,-0.28898796,-0.52671885,-0.7435586,-0.3065577,-0.27747625,-0.95976985,-0.042996474,-0.40285602,-1.1895018,-0.21867014,-0.36937997,-0.72337216,-0.19314352,-0.30799183,-0.6534736,-0.12666798,-0.06007538,-0.9181959,-0.06549604,-0.17920242,-1.1039324,-0.2649027,-0.17094594,-0.64333427,-0.17356582,-0.10221785,-0.56098354,-0.05980895,0.18305741,-0.8593921,-0.09921289,0.016005086,-0.9826459,-0.23866788,0.004725919,-0.63359755,-0.19482344,0.060644187,-0.5490507,-0.12657346,2.130754,2.5666878,2.2871873,2.6770978,0.73272187,2.7389162,2.5568094,0.66856486,2.317146,2.339631,0.72283965,2.299349,1.9858736,1.0041599,2.4053967
5,1,0.0,0.0,0.0,0.3072946,-0.061201643,-0.15137818,0.5365061,-0.36817428,-0.20017608,0.68680805,-0.671074,-0.23071596,0.83964163,-0.8578662,-0.26648846,0.37512466,-0.9256522,-0.1399231,0.46119812,-1.3307949,-0.2002663,0.49456468,-1.5976294,-0.258133,0.51528394,-1.8316097,-0.30989367,0.18380965,-0.97439003,-0.12953041,0.2139726,-1.4287968,-0.19593187,0.2295113,-1.7345763,-0.28558245,0.22628365,-1.9871485,-0.35810274,-0.0056778532,-0.90161395,-0.1294759,-0.047454905,-1.2882509,-0.22892,-0.090324715,-1.5408683,-0.32472867,-0.1232052,-1.752747,-0.38694915,-0.1810379,-0.7476333,-0.13810399,-0.27299887,-1.0279135,-0.24869238,-0.33345056,-1.2229894,-0.31503528,-0.37356877,-1.4006462,-0.3546743,2.3729732,2.9582093,2.910911,2.9675894,3.0343008,3.105998,3.0216315,3.000717,3.0803316,2.9950624,3.0196314,3.0650148,2.9450545,3.0943522,3.0163655
